access,w_eff,n_vis,n_nat,eps,T,rho,idle,cv,sv
rts,420,5,10,0.35345226451597084,0.7177619047619047,0.6146254892854773,0.577103801794105,0.03844510892780863,0.045066211020931224
rts,420,5,10,0.4513369232266959,0.7151468253968254,0.8599133267116864,0.5566942390747383,0.06602737720518263,0.06478295878779006
rts,420,5,10,0.5763296453813948,0.7162738095238095,1.1796001130187646,0.5303450400492914,0.09357670979667283,0.09434688847812693
rts,420,5,10,0.7359377065160035,0.6938095238095238,1.4775051475634866,0.48740083994400374,0.15850054440815056,0.11378130346865764
rts,420,5,10,0.9397474383147868,0.6678531746031746,1.713878276163257,0.4281289707750953,0.24047013977128334,0.13254447268106734
rts,420,5,10,1.2,0.5690873015873016,1.8338051739767103,0.3341957740405347,0.4049159120310479,0.11190168175937905
rts,420,5,20,0.05,0.6321904761904762,0.19179346188611024,0.5208307346887864,0.006486216789322689,0.006236746912810278
rts,420,5,20,0.0638469417991665,0.6321230158730159,0.20518534793935778,0.5202221944825864,0.006865559855199101,0.006678317313693671
rts,420,5,20,0.0815286395421231,0.6322063492063492,0.21043084184890404,0.5204017968555029,0.0072373346643374095,0.00680059895183429
rts,420,5,20,0.10410708607622314,0.6313373015873016,0.21370610382345362,0.5194959136564976,0.00835984777590617,0.006987335454488739
rts,420,5,20,0.13293838131178873,0.633531746031746,0.23485750078296272,0.5191256830601093,0.009672759248790906,0.007725645374034295
rts,420,5,20,0.16975418188978358,0.6321150793650794,0.2576070511573013,0.5202322967403522,0.00986636692893718,0.008430123641813413
rts,420,5,20,0.21676570742564272,0.6309722222222223,0.3333542970346844,0.5204107031736155,0.01225886745488488,0.010640945861854387
rts,420,5,20,0.2767965501212033,0.6346269841269842,0.387554243837775,0.5171695492993309,0.015275849008963515,0.013066532003534907
rts,420,5,20,0.35345226451597084,0.6347777777777778,0.4991123002675602,0.5155933062880325,0.02022058823529412,0.017051217038539554
rts,420,5,20,0.4513369232266959,0.6340793650793651,0.6813715673267079,0.5124166402032391,0.034423626548110514,0.023626548110511274
rts,420,5,20,0.5763296453813948,0.6404047619047619,0.9954022133819137,0.5017426185309397,0.04997698428355363,0.03531268494772145
rts,420,5,20,0.7359377065160035,0.640154761904762,1.4852559214971577,0.48515920129519696,0.08364813815434431,0.05558553696708041
rts,420,5,20,0.9397474383147868,0.6410555555555556,1.9531588525868793,0.45605717520520805,0.13225304273988112,0.07663458816869516
rts,420,5,20,1.2,0.596781746031746,2.3960861499178794,0.3882959926496572,0.24962894904233515,0.0909604919075553
rts,420,20,0,0.05,0.7198849206349206,1.0,0.877772864617879,0.009506964404156533,0.11272017097796448
rts,420,20,0,0.0638469417991665,0.733718253968254,1.0,0.8576866764275256,0.012633340305375445,0.12967998326709892
rts,420,20,0,0.0815286395421231,0.7373452380952381,1.0,0.8367516246485689,0.02009494400147486,0.14315343134995623
rts,420,20,0,0.10410708607622314,0.7397857142857143,1.0,0.809007333953104,0.028612746617085013,0.16237991942981098
