method,churn,N_visitor,N_native,W_eff,seed,visit,efficiency,util_v,util_n,collision_rate,tau0_mean
cold_genie,0.0,10,0,50,42,14,1.3076923076923077,0.488,0.0,0.2577777777777778,0.1
cold_genie,0.0,10,0,50,42,15,0.5555555555555556,0.32,0.0,0.44793650793650797,0.1
cold_genie,0.0,10,0,50,42,16,1.0,0.504,0.0,0.25907647907647907,0.1
cold_genie,0.0,10,0,50,42,17,0.631578947368421,0.288,0.0,0.27854922854922853,0.1
cold_genie,0.0,10,0,50,42,18,0.9473684210526315,0.42400000000000004,0.0,0.2813919413919414,0.1
cold_genie,0.0,10,0,50,42,19,0.6086956521739131,0.42800000000000005,0.0,0.27444444444444444,0.1
cold_genie,0.0,10,0,50,42,20,0.9473684210526315,0.46799999999999997,0.0,0.2545454545454545,0.1
cold_genie,0.0,10,0,50,42,21,0.7777777777777778,0.42000000000000004,0.0,0.2223232323232323,0.1
cold_genie,0.0,10,0,50,42,22,0.7894736842105263,0.404,0.0,0.31510822510822506,0.1
cold_genie,0.0,10,0,50,42,23,0.9047619047619048,0.548,0.0,0.16234654234654236,0.1
cold_genie,0.0,10,0,50,42,24,0.6111111111111112,0.376,0.0,0.30782828282828284,0.1
cold_genie,0.0,10,0,50,42,25,1.125,0.488,0.0,0.19595959595959594,0.1
cold_genie,0.0,10,0,50,42,26,0.9333333333333333,0.42799999999999994,0.0,0.31430014430014425,0.1
cold_genie,0.0,10,0,50,42,27,1.0526315789473684,0.6679999999999999,0.0,0.1388888888888889,0.1
cold_genie,0.0,10,0,50,42,28,0.7619047619047619,0.40800000000000003,0.0,0.2866666666666667,0.1
cold_genie,0.0,10,0,50,42,29,0.9523809523809523,0.5439999999999999,0.0,0.23315018315018313,0.1
cold_nv,0.0,10,0,50,42,0,0.9411764705882353,0.352,0.0,0.2963636363636364,0.1
cold_nv,0.0,10,0,50,42,1,0.8235294117647058,0.392,0.0,0.25583916083916086,0.1
cold_nv,0.0,10,0,50,42,2,1.2,0.492,0.0,0.21080808080808083,0.1
cold_nv,0.0,10,0,50,42,3,0.9473684210526315,0.43999999999999995,0.0,0.2778421578421578,0.1
cold_nv,0.0,10,0,50,42,4,1.0714285714285714,0.45200000000000007,0.0,0.2769047619047619,0.1
cold_nv,0.0,10,0,50,42,5,0.47619047619047616,0.34,0.0,0.35158730158730156,0.1
cold_nv,0.0,10,0,50,42,6,0.8571428571428571,0.508,0.0,0.20429292929292928,0.1
cold_nv,0.0,10,0,50,42,7,0.7142857142857143,0.492,0.0,0.18898989898989899,0.1
cold_nv,0.0,10,0,50,42,8,0.6666666666666666,0.3,0.0,0.28742424242424247,0.1
cold_nv,0.0,10,0,50,42,9,0.9,0.484,0.0,0.2633333333333333,0.1
cold_nv,0.0,10,0,50,42,10,1.5454545454545454,0.42800000000000005,0.0,0.21843434343434343,0.1
cold_nv,0.0,10,0,50,42,11,0.7272727272727273,0.44800000000000006,0.0,0.23232323232323232,0.1
cold_nv,0.0,10,0,50,42,12,0.7368421052631579,0.42400000000000004,0.0,0.3125757575757576,0.1
cold_nv,0.0,10,0,50,42,13,1.0,0.576,0.0,0.17666666666666667,0.1
cold_nv,0.0,10,0,50,42,14,1.2307692307692308,0.484,0.0,0.23232323232323232,0.1
cold_nv,0.0,10,0,50,42,15,0.7777777777777778,0.44800000000000006,0.0,0.27015873015873015,0.1
cold_nv,0.0,10,0,50,42,16,0.9523809523809523,0.548,0.0,0.16311688311688308,0.1
cold_nv,0.0,10,0,50,42,17,1.0526315789473684,0.52,0.0,0.21777777777777776,0.1
cold_nv,0.0,10,0,50,42,18,0.9473684210526315,0.4720000000000001,0.0,0.33666666666666667,0.1
