method,cd,N,W_eff,seed,W_eff_utilization,efficiency,collision_rate,successes
pnd,0,30,50,123,0.45064000000000004,1.2036380952380952,0.26991197574355463,3.169
dcf_self_excl,0,30,50,123,0.42496000000000006,1.1116023809523807,0.1619864851078238,2.96
and,0,30,50,123,0.0,0.0,1.0,0.0
oracle,1,30,50,456,0.7856000000000002,1.0355162698412699,0.25369596846580184,5.426
pnd,1,30,50,456,0.7664000000000001,0.9973099206349206,0.2498307516648777,5.238
dcf_self_excl,1,30,50,456,0.6656000000000002,0.8665269841269841,0.15210185323104816,4.558
and,1,30,50,456,0.26776,0.42692142857142856,0.9145812153051773,2.229
oracle,0,30,50,456,0.48408000000000007,1.2277150793650793,0.28593527567204036,3.361
pnd,0,30,50,456,0.45008000000000004,1.1298857142857142,0.26994043456543454,3.104
dcf_self_excl,0,30,50,456,0.42768000000000006,1.0779277777777778,0.16715523486213013,2.982
and,0,30,50,456,0.0,0.0,1.0,0.0
oracle,1,30,50,789,0.7804000000000002,1.0364190476190474,0.2550329802157843,5.357
pnd,1,30,50,789,0.7701600000000001,1.043577380952381,0.247540610450526,5.387
dcf_self_excl,1,30,50,789,0.6658400000000001,0.8895214285714286,0.14850240040700613,4.579
and,1,30,50,789,0.26727999999999996,0.4368242063492063,0.9155543585140828,2.237
oracle,0,30,50,789,0.46928000000000003,1.1765833333333335,0.28846805343349463,3.278
pnd,0,30,50,789,0.44632000000000005,1.1771785714285714,0.27005200355200354,3.189
dcf_self_excl,0,30,50,789,0.4388800000000001,1.128847619047619,0.15889772645655,3.072
and,0,30,50,789,0.0,0.0,1.0,0.0
oracle,1,30,50,1234,0.7849600000000002,1.040129365079365,0.2536429605298526,5.376
pnd,1,30,50,1234,0.7727200000000003,1.021340873015873,0.24628430598181178,5.293
dcf_self_excl,1,30,50,1234,0.6704000000000001,0.8745130952380953,0.14864990309459816,4.53
and,1,30,50,1234,0.26272,0.42963809523809526,0.9153881053006481,2.214
oracle,0,30,50,1234,0.47848,1.1508853174603175,0.29011994500597443,3.265
pnd,0,30,50,1234,0.45616000000000007,1.1221841269841268,0.2652781510972687,3.194
dcf_self_excl,0,30,50,1234,0.4431200000000001,1.070048015873016,0.16078428184564275,3.063
and,0,30,50,1234,0.0,0.0,1.0,0.0
oracle,1,30,100,42,0.8074000000000001,1.0149068861693862,0.25627402312881953,10.555
pnd,1,30,100,42,0.79556,0.9968686313686315,0.27020630750142244,10.369
dcf_self_excl,1,30,100,42,0.6796399999999999,0.8564913794538795,0.17183765239240775,8.903
and,1,30,100,42,0.38304000000000005,0.5153101703851705,0.8831562670798792,5.352
