method,ppdu_dist,N,W_eff,seed,visit,successes,oracle_successes,efficiency,viable_slots_wasted,collision_rate,tau_rmse,false_trigger_rate
mfg_no_excl,homo,5,200,1234,1000,5.0,5.0,1.0,2.762,0.2053101876116962,0.0,0.0
self_excl_only,homo,5,200,1234,1000,5.0,5.0,1.0,2.701,0.20968422181115323,0.0,0.0
ema_fixed_low,homo,5,200,1234,1000,5.0,5.0,1.0,12.285,0.05364494592081312,0.3402377458953445,1.0465256622086974
ema_fixed_high,homo,5,200,1234,1000,5.0,5.0,1.0,9.499,0.07449555818186589,0.31122066614798727,1.3340406429264655
ema_adaptive,homo,5,200,1234,1000,5.0,5.0,1.0,12.698,0.05451537501358946,0.3416256865355092,1.096620701984174
consec_L2,homo,5,200,1234,1000,5.0,5.0,1.0,9.086,0.07463091883239344,0.3029793172706598,0.7665075764936993
consec_L4,homo,5,200,1234,1000,5.0,5.0,1.0,11.957,0.054044533701906414,0.336380151188959,0.3800968402384001
oracle,homo,10,20,42,1000,0.941,0.95,0.894,0.858,0.17865000000000023,0.0,0.0
mfg_no_excl,homo,10,20,42,1000,0.948,0.95,0.9,0.838,0.17369999999999994,0.0,0.0
self_excl_only,homo,10,20,42,1000,0.949,0.95,0.901,0.862,0.17448333333333332,0.0,0.0
ema_fixed_low,homo,10,20,42,1000,0.906,0.95,0.862,1.177,0.13626666666666665,0.03359378269664029,1.0714500000000002
ema_fixed_high,homo,10,20,42,1000,0.913,0.95,0.866,1.2,0.1437333333333332,0.03301910440413971,3.5435333333333374
ema_adaptive,homo,10,20,42,1000,0.907,0.95,0.863,1.099,0.13328333333333325,0.03372119727138683,1.0863333333333338
consec_L2,homo,10,20,42,1000,0.924,0.95,0.879,1.138,0.14353333333333326,0.03404231174365351,0.9510000000000013
consec_L4,homo,10,20,42,1000,0.904,0.95,0.857,1.193,0.13540000000000002,0.03399480694831315,0.15233333333333327
oracle,homo,10,20,123,1000,0.944,0.928,0.873,0.852,0.1932666666666668,0.0,0.0
mfg_no_excl,homo,10,20,123,1000,0.953,0.928,0.885,0.876,0.16880000000000003,0.0,0.0
self_excl_only,homo,10,20,123,1000,0.943,0.928,0.873,0.871,0.17780000000000007,0.0,0.0
ema_fixed_low,homo,10,20,123,1000,0.909,0.928,0.845,1.164,0.13374999999999998,0.033840760377971825,1.1036
