init,N,W_eff,seed,efficiency,W_eff_utilization,collision_rate,oracle_successes
low,20,100,123,0.9296036075036075,0.7593799999999999,0.14644895514177933,11.155
oracle,20,100,456,1.0029984487734487,0.81247,nan,11.297
optimal,20,100,456,0.9671711136086135,0.79026,0.25837247301431593,11.297
rand_u01,20,100,456,0.37549610667110667,0.29042999999999997,0.8738651747763966,11.297
rand_u2N,20,100,456,0.9588432289932288,0.7851699999999999,0.28671178988863594,11.297
high,20,100,456,0.8316401196026196,0.67548,0.5729212115953392,11.297
low,20,100,456,0.925020258907759,0.75855,0.15047251708964826,11.297
oracle,20,100,789,1.0117814837939838,0.81208,nan,11.19
optimal,20,100,789,0.9695800588300587,0.7907799999999999,0.2586066999768271,11.19
rand_u01,20,100,789,0.3707571789321789,0.28645,0.8790256016420903,11.19
rand_u2N,20,100,789,0.9649646867021868,0.78532,0.28134571697334265,11.19
high,20,100,789,0.8436715756465757,0.6809200000000001,0.5704694306809002,11.19
low,20,100,789,0.9362178696303697,0.76149,0.1469273868418872,11.19
oracle,20,100,1234,1.0140008103008102,0.81056,nan,11.161
optimal,20,100,1234,0.9736033022533023,0.79141,0.2565364842740166,11.161
rand_u01,20,100,1234,0.39477818847818846,0.30461,0.8664560612508971,11.161
rand_u2N,20,100,1234,0.9667706501831502,0.7873100000000001,0.2829395914917609,11.161
high,20,100,1234,0.838324698912199,0.6785899999999999,0.573745092416616,11.161
low,20,100,1234,0.9377979867354868,0.7605299999999999,0.14679677245595193,11.161
oracle,20,200,42,1.0005137082903337,0.747025,nan,19.891
optimal,20,200,42,0.9957953732370141,0.74329,0.2335194057828267,19.891
rand_u01,20,200,42,0.49253157894736843,0.36019,0.795698546126306,19.891
rand_u2N,20,200,42,0.9958379772961816,0.743225,0.24871371689391644,19.891
high,20,200,42,0.9676520467836257,0.7192650000000002,0.43850476089133644,19.891
low,20,200,42,0.9850009287925696,0.7339600000000001,0.15896035136124373,19.891
oracle,20,200,123,1.0016731252149982,0.7488800000000001,nan,19.877
optimal,20,200,123,0.9965917784657722,0.7453200000000001,0.237627936518313,19.877
rand_u01,20,200,123,0.4988459580323357,0.365465,0.7958061289511608,19.877
rand_u2N,20,200,123,0.9940920278637772,0.743845,0.24986346404847834,19.877
high,20,200,123,0.9671669461644307,0.72155,0.43879495313017014,19.877
low,20,200,123,0.9843393575851392,0.7353900000000001,0.16086037814126064,19.877
oracle,20,200,456,0.999706054351565,0.742725,nan,19.898
optimal,20,200,456,0.995286790505676,0.7390950000000001,0.23517207156991343,19.898
rand_u01,20,200,456,0.4886417784657723,0.354655,0.7988538093469655,19.898
rand_u2N,20,200,456,0.9942984004127967,0.7378049999999999,0.2527009104085108,19.898
high,20,200,456,0.9712102855177158,0.718925,0.43865025084517845,19.898
low,20,200,456,0.9867957172342622,0.731585,0.1577479742925983,19.898
oracle,20,200,789,0.9993345717234261,0.744985,nan,19.888
optimal,20,200,789,0.9949755804953561,0.740595,0.2383799035279846,19.888
rand_u01,20,200,789,0.4782468309253526,0.34745000000000004,0.8053631429894286,19.888
rand_u2N,20,200,789,0.9968639791881665,0.742095,0.24938775254578308,19.888
high,20,200,789,0.971734563123495,0.721805,0.43439975420495835,19.888
low,20,200,789,0.9858393145854832,0.7331350000000001,0.15835034227834766,19.888
oracle,20,200,1234,1.0008258427932577,0.746865,nan,19.88
optimal,20,200,1234,0.9954668730650156,0.74281,0.23699845833307348,19.88
