access,w_eff,n_vis,n_nat,eps_i,r,tau_bar,tau_nat,T,rho,T_nv,rho_nv,T_ev,rho_ev
basic,210,5,5,0.034,2.0,0.19238,0.03497,0.55818,1.63188,0.46199,1.68888,0.58434,1.96686
basic,210,5,5,0.034,5.0,0.118143,0.0379,0.64712,1.44774,0.58853,1.50654,0.66762,1.68126
basic,210,5,5,0.07,3.0,0.171508,0.03241,0.58582,1.60121,0.49816,1.6502,0.60766,1.90422
basic,210,5,5,0.145,5.0,0.210719,0.035,0.50923,1.5329,0.43223,1.71767,0.56392,2.01425
basic,210,5,10,0.017,1.0,0.144808,0.02471,0.6027,2.20211,0.44294,1.97589,0.52111,2.25799
basic,210,5,10,0.017,3.0,0.078214,0.03026,0.69356,1.66362,0.54368,1.47469,0.58993,1.5701
basic,210,5,10,0.034,2.0,0.179934,0.02362,0.55583,2.31621,0.39421,2.14287,0.48652,2.51013
basic,210,5,10,0.034,5.0,0.076473,0.02805,0.6769,1.78343,0.54648,1.4564,0.5918,1.54678
basic,210,5,10,0.07,3.0,0.168444,0.02205,0.57943,2.34511,0.40983,2.09313,0.49774,2.43371
basic,210,5,10,0.145,5.0,0.184243,0.02521,0.49701,2.07073,0.38843,2.16047,0.48234,2.53745
basic,210,5,20,0.017,1.0,0.103707,0.01719,0.62505,3.14509,0.33883,1.98649,0.38035,2.1408
basic,210,5,20,0.017,3.0,0.029382,0.02258,0.66511,1.37303,0.42877,0.73547,0.44238,0.72152
basic,210,5,20,0.034,2.0,0.125077,0.016,0.57633,3.51101,0.31568,2.24434,0.36386,2.46881
basic,210,5,20,0.034,5.0,0.004678,0.02347,0.67019,0.26121,0.46287,0.13039,0.46517,0.1226
basic,210,5,20,0.07,3.0,0.109074,0.01676,0.6064,3.19859,0.33291,2.05447,0.37616,2.22599
basic,210,5,20,0.145,5.0,0.026027,0.02286,0.63195,0.94887,0.43325,0.66064,0.4454,0.64466
basic,210,20,5,0.017,1.0,0.051174,0.03276,0.54026,1.01103,0.43108,1.03872,0.54828,1.05399
basic,210,20,5,0.017,3.0,0.031828,0.0377,0.62812,0.91029,0.55929,0.93724,0.63973,0.91572
basic,210,20,5,0.034,2.0,0.044733,0.03312,0.5756,1.0014,0.47148,1.01274,0.57773,1.0176
basic,210,20,5,0.034,5.0,0.023093,0.04268,0.69298,0.81764,0.62218,0.85378,0.68378,0.80947
basic,210,20,5,0.07,3.0,0.033423,0.03695,0.60926,0.91338,0.54796,0.94894,0.63186,0.93114
basic,210,20,5,0.145,5.0,0.025632,0.03893,0.6433,0.81606,0.60345,0.88213,0.67083,0.84485
basic,210,20,10,0.017,1.0,0.044216,0.02298,0.55825,1.13364,0.39325,1.01745,0.47873,1.02268
basic,210,20,10,0.017,3.0,0.022848,0.02816,0.63831,0.91276,0.51714,0.77385,0.56979,0.72566
basic,210,20,10,0.034,2.0,0.038246,0.02343,0.54075,1.11502,0.42521,0.96666,0.50297,0.95729
basic,210,20,10,0.034,5.0,0.016124,0.02894,0.67765,0.78817,0.56188,0.64135,0.60104,0.58024
basic,210,20,10,0.07,3.0,0.031724,0.02481,0.61133,1.04245,0.46242,0.89838,0.5305,0.87235
basic,210,20,10,0.145,5.0,0.018963,0.03022,0.64542,0.75444,0.54263,0.70255,0.58768,0.64612
basic,210,20,20,0.017,1.0,0.035319,0.01618,0.58092,1.39595,0.29825,0.90968,0.34966,0.89313
basic,210,20,20,0.017,3.0,0.012351,0.02097,0.65215,0.78396,0.40221,0.44354,0.42422,0.39809
basic,210,20,20,0.034,2.0,0.031124,0.01714,0.5763,1.31971,0.31538,0.8453,0.36242,0.81929
basic,210,20,20,0.034,5.0,0.002467,0.02288,0.66376,0.2446,0.45544,0.10671,0.46024,0.09018
basic,210,20,20,0.07,3.0,0.022941,0.01824,0.6059,1.16536,0.3511,0.69712,0.38837,0.65633
basic,210,20,20,0.145,5.0,0.003931,0.02323,0.66692,0.30385,0.44719,0.16501,0.45473,0.14088
basic,210,50,5,0.017,1.0,0.021219,0.03357,0.52131,0.89329,0.41774,0.91483,0.53623,0.88118
basic,210,50,5,0.017,3.0,0.011905,0.04117,0.63485,0.78168,0.57004,0.80633,0.64707,0.74191
basic,210,50,5,0.034,2.0,0.016658,0.03614,0.58539,0.84422,0.48821,0.87368,0.58864,0.82686
basic,210,50,5,0.034,5.0,0.008547,0.04221,0.68444,0.6787,0.6331,0.72893,0.69048,0.64995
basic,210,50,5,0.07,3.0,0.013478,0.03792,0.62257,0.78785,0.54278,0.83259,0.62731,0.77447
basic,210,50,5,0.145,5.0,0.00991,0.03899,0.64423,0.73395,0.60752,0.76472,0.67268,0.69177
basic,210,50,10,0.017,1.0,0.018729,0.02238,0.54826,0.9238,0.37921,0.82202,0.46667,0.76789
basic,210,50,10,0.017,3.0,0.009538,0.02731,0.61537,0.75762,0.5097,0.62783,0.56413,0.54717
basic,210,50,10,0.034,2.0,0.014174,0.02628,0.58813,0.84728,0.43987,0.74516,0.5131,0.67683
basic,210,50,10,0.034,5.0,0.005744,0.03005,0.66473,0.59784,0.57344,0.47636,0.60886,0.39453
basic,210,50,10,0.07,3.0,0.010198,0.02604,0.60024,0.7746,0.49925,0.648,0.55663,0.5687
basic,210,50,10,0.145,5.0,0.006928,0.02893,0.64983,0.6188,0.55289,0.53145,0.59461,0.44825
basic,210,50,20,0.017,1.0,0.016204,0.01619,0.51944,1.01006,0.2782,0.67774,0.33412,0.61414
basic,210,50,20,0.017,3.0,0.006425,0.01946,0.63529,0.69237,0.38348,0.3769,0.41119,0.31402
