method,ppdu_dist,N,W_eff,seed,visit,successes,oracle_successes,efficiency,useful_slots,W_eff_utilization,viable_slots_wasted,collision_rate,tau_rmse,false_trigger_rate
ema_ad_med,homo,10,20,456,1000,1.729,1.659,1.0009999999999997,10.374,0.5187000000000048,1.748,0.22676190476190428,0.029603722044247247,1.3985595238095205
ema_no_coll,homo,10,20,456,1000,1.654,1.659,0.9584999999999999,9.924,0.49620000000000525,1.635,0.2666476190476182,0.022368252453090792,1.1468595238095216
consec_L2,homo,10,20,456,1000,1.663,1.659,0.9714999999999998,9.978,0.4989000000000038,1.961,0.20328849206349148,0.039616198585109716,1.3495293650793607
consec_L4,homo,10,20,456,1000,1.711,1.659,0.9979999999999999,10.266,0.5133000000000043,2.123,0.18771111111111038,0.039125109566413435,0.17956150793650796
dcf_self_excl,homo,10,20,456,1000,1.374,1.659,0.8001666666666672,8.244,0.4122000000000046,2.75,0.1894996031746027,0.0,0.0
pnd,homo,10,20,456,1000,1.594,1.659,0.9453333333333332,9.564,0.4782000000000041,1.452,0.29123571428571277,0.0,0.0
pnd_cd,homo,10,20,456,1000,1.594,1.659,0.9214999999999999,9.564,0.4782000000000044,1.518,0.28471428571428475,0.0,0.0
and,homo,10,20,456,1000,0.031,1.659,0.018833333333333337,0.186,0.009300000000000001,0.005,0.9884166666666662,0.0,0.0
oracle,homo,10,20,789,1000,1.648,1.623,0.9784999999999996,9.888,0.49440000000000506,1.481,0.2818289682539677,0.0,0.0
mfg_no_excl,homo,10,20,789,1000,1.68,1.623,1.0033333333333325,10.08,0.5040000000000049,1.431,0.28394126984126905,0.0,0.0
self_excl_only,homo,10,20,789,1000,1.635,1.623,0.9581666666666658,9.81,0.4905000000000053,1.449,0.2918031746031739,0.0,0.0
ema_fixed_low,homo,10,20,789,1000,1.685,1.623,0.9754999999999996,10.11,0.5055000000000048,2.177,0.183330952380952,0.039180080144623645,1.4475952380952326
ema_fixed_high,homo,10,20,789,1000,1.668,1.623,0.9841666666666665,10.008,0.5004000000000046,2.001,0.2067769841269834,0.037845062115437145,3.429750793650799
ema_adaptive,homo,10,20,789,1000,1.691,1.623,1.0143333333333333,10.146,0.5073000000000051,2.1,0.18779444444444407,0.0388332828793644,1.8166011904761845
ema_ad_low,homo,10,20,789,1000,1.687,1.623,1.0016666666666665,10.122,0.506100000000005,1.671,0.24405793650793592,0.024740658404279883,1.3023773809523773
